Date,Open,High,Low,Close,Volume
2022-07-08 14:00:00,291.8,295.4513,291.28,295.18,8000353
2022-07-08 15:00:00,295.19,296.75,295.0,296.2,6349501
2022-07-08 16:00:00,296.21,296.24,292.72,293.089,6010055
2022-07-08 17:00:00,293.1,295.27,292.5807,294.68,4345768
2022-07-08 18:00:00,294.7,296.22,294.32,295.93,3700585
2022-07-08 19:00:00,295.95,296.1,295.0,295.38,5989909
2022-07-11 13:00:00,293.3,293.47,288.2,288.91,7624221
2022-07-11 14:00:00,288.91,290.905,288.14,289.4799,7285516
2022-07-11 15:00:00,289.47,290.72,289.21,289.67,3847115
2022-07-11 16:00:00,289.64,290.38,289.31,290.0,2454663
2022-07-11 17:00:00,290.0167,291.79,289.95,291.31,3261830
2022-07-11 18:00:00,291.31,291.3799,289.39,289.39,3947675
2022-07-11 19:00:00,289.38,289.555,288.21,288.98,8273165
2022-07-12 13:00:00,289.4,292.28,288.03,288.16,8319724
2022-07-12 14:00:00,288.14,289.35,286.9,288.53,8431461
2022-07-12 15:00:00,288.54,289.96,288.05,289.0899,4209896
2022-07-12 16:00:00,289.06,289.99,288.6,289.53,3103908
2022-07-12 17:00:00,289.54,290.2,288.3501,289.23,3122362
2022-07-12 18:00:00,289.23,289.32,287.432,287.45,2703916
2022-07-12 19:00:00,287.45,287.46,284.61,286.19,10242526
2022-07-13 14:00:00,283.85,287.54,281.88,286.45,11960848
2022-07-13 15:00:00,286.51,287.49,284.455,285.4731,5678056
2022-07-13 16:00:00,285.47,287.23,285.15,287.2192,3610302
2022-07-13 17:00:00,287.22,288.05,286.339,287.29,3930312
2022-07-13 18:00:00,287.29,287.68,285.25,287.63,5401951
2022-07-13 19:00:00,287.66,287.71,285.58,285.62,6722625
2022-07-14 13:00:00,283.29,283.93,280.68,281.1383,7624526
2022-07-14 14:00:00,281.1,282.13,279.8,281.53,8485021
2022-07-14 15:00:00,281.54,284.74,281.4701,284.375,6994344
2022-07-14 16:00:00,284.4094,284.7,282.42,283.16,4415409
2022-07-14 17:00:00,283.16,285.37,282.63,284.96,4020949
2022-07-14 18:00:00,284.96,287.52,284.83,286.8101,5764318
2022-07-14 19:00:00,286.82,287.56,285.82,286.7,6654775
2022-07-15 13:00:00,289.0,291.23,288.08,289.25,7790041
2022-07-15 14:00:00,289.28,291.33,289.01,290.31,7781262
2022-07-15 15:00:00,290.31,291.62,290.16,290.5901,4369350
2022-07-15 16:00:00,290.6,290.87,289.93,290.53,3641204
2022-07-15 17:00:00,290.54,291.41,290.4302,291.18,2844909
2022-07-15 18:00:00,291.19,291.575,290.57,291.19,2766859
2022-07-15 19:00:00,291.188,291.98,290.6,291.9,6563844
2022-07-18 13:00:00,294.73,296.16,293.85,295.6,6129012
2022-07-18 14:00:00,295.57,296.09,293.97,294.96,5454149
2022-07-18 15:00:00,294.98,296.08,294.59,296.0095,3320574
